unix_time,frame_ts_us,tracker_id,cx_px,cy_px,bx,by,w_px,h_px,processing_time_s
1763656248.7385821,2180000,3,262.3655700683594,131.24984741210938,13,6,64,42,0.0
1763656248.7704144,2215000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656248.7704144,2215000,2,343.6319580078125,185.31846618652344,17,9,42,34,0.0
1763656248.7704144,2215000,3,254.6240997314453,135.3897247314453,12,6,67,47,0.0
1763656248.8019447,2245000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656248.8019447,2245000,2,342.2818298339844,184.70460510253906,17,9,41,34,0.0
1763656248.8019447,2245000,3,249.2091522216797,138.22012329101562,12,6,61,47,0.0
1763656248.8394487,2280000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656248.8394487,2280000,2,340.7056579589844,184.3213348388672,17,9,41,35,0.0
1763656248.8394487,2280000,3,243.47889709472656,141.9390869140625,12,7,60,49,0.0
1763656248.8714137,2315000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656248.8714137,2315000,2,339.2249755859375,183.83355712890625,16,9,42,33,0.0
1763656248.8714137,2315000,3,238.13706970214844,145.80691528320312,11,7,60,49,0.0
1763656248.9028473,2345000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656248.9028473,2345000,2,337.02569580078125,183.19923400878906,16,9,42,33,0.0
1763656248.9028473,2345000,3,233.3116912841797,149.6116943359375,11,7,58,52,0.0
1763656248.9391928,2380000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656248.9391928,2380000,2,334.75341796875,182.46865844726562,16,9,41,33,0.0
1763656248.9391928,2380000,3,228.5166015625,153.87420654296875,11,7,57,55,0.0
1763656248.9712665,2415000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656248.9712665,2415000,2,332.8503723144531,181.9040985107422,16,9,42,33,0.0
1763656248.9712665,2415000,3,223.62937927246094,158.9490203857422,11,7,58,57,0.0
1763656249.0026777,2445000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656249.0026777,2445000,2,330.32330322265625,181.50241088867188,16,9,43,32,0.0
1763656249.0026777,2445000,3,218.7472381591797,164.6827850341797,10,8,60,63,0.0
1763656249.0404954,2480000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
