unix_time,frame_ts_us,id,cx,cy,vx,vy,bx,by,pbx,pby,w,h,processing_time
1763666218.4853575,1615000,2,294.6727600097656,221.45016479492188,45.94165,60.224422,14,11,15,11,42,47,0.0
1763666218.4853575,1615000,3,492.09478759765625,322.4593811035156,-43.182945,76.145325,24,16,24,16,36,46,0.0
1763666218.4853575,1615000,4,150.7313232421875,374.9505920410156,-70.68312,40.48185,7,18,7,19,56,54,0.0
1763666218.4853575,1615000,5,261.0830993652344,375.9333801269531,14.347584,-75.06604,13,18,13,18,40,59,0.0
1763666218.5193546,1645000,1,152.5953369140625,209.7144012451172,-20.549273,74.80117,7,10,7,11,37,56,0.0
1763666218.5193546,1645000,2,296.3313903808594,223.41839599609375,52.031353,61.743553,14,11,15,11,41,49,0.0
1763666218.5193546,1645000,3,490.7075500488281,324.2075500488281,-43.517742,54.840183,24,16,24,16,37,46,0.0
1763666218.5193546,1645000,4,148.64254760742188,376.4505920410156,-65.52504,47.055107,7,18,6,19,55,53,0.0
1763666218.5193546,1645000,5,261.7207946777344,373.6026306152344,20.004547,-73.115776,13,18,13,18,39,59,0.0
1763666218.5531583,1680000,1,152.01589965820312,211.72654724121094,-15.954939,55.404903,7,10,7,11,38,56,0.0
1763666218.5531583,1680000,2,297.7054138183594,225.10720825195312,37.834053,46.501835,14,11,15,11,40,50,0.0
1763666218.5531583,1680000,3,489.43389892578125,325.9115905761719,-35.07028,46.92115,24,16,24,16,39,45,0.0
1763666218.5531583,1680000,4,146.3996124267578,377.8140869140625,-61.75974,37.544147,7,18,6,19,55,49,0.0
1763666218.5531583,1680000,5,262.1369934082031,371.21697998046875,11.460128,-65.68944,13,18,13,18,38,59,0.0
1763666218.5843658,1715000,1,151.3426055908203,213.5723419189453,-21.236916,58.219707,7,10,7,11,38,56,0.0
1763666218.5843658,1715000,2,298.89398193359375,227.35340881347656,37.489594,70.849236,14,11,15,11,39,52,0.0
1763666218.5843658,1715000,3,488.2343444824219,327.42779541015625,-37.83612,47.82385,24,16,24,16,38,45,0.0
1763666218.5843658,1715000,4,143.9835662841797,379.32489013671875,-76.206474,47.653473,7,18,6,19,52,49,0.0
1763666218.5843658,1715000,5,262.5382080078125,369.084716796875,12.655035,-67.25545,13,18,13,17,38,60,0.0
1763666218.6175776,1745000,1,150.4341278076172,215.6968231201172,-28.242577,66.04545,7,10,7,11,38,55,0.0
1763666218.6175776,1745000,2,299.8165588378906,228.62899780273438,28.680887,39.65526,14,11,15,11,38,53,0.0
1763666218.6175776,1745000,3,487.1824951171875,328.6921691894531,-32.699684,39.306602,24,16,24,16,38,44,0.0
1763666218.6175776,1745000,4,142.5012664794922,380.3677062988281,-46.081444,32.41886,7,19,6,19,51,50,0.0
1763666218.6175776,1745000,5,262.8065490722656,366.6938171386719,8.3421335,-74.32781,13,18,13,17,38,59,0.0
1763666218.6539443,1780000,1,149.7841033935547,217.44061279296875,-18.102385,48.562405,7,10,7,11,39,54,0.0
1763666218.6539443,1780000,2,300.95379638671875,230.410888671875,31.670673,49.623478,15,11,15,11,37,52,0.0
1763666218.6539443,1780000,3,486.1748962402344,329.8846435546875,-28.060394,33.20895,24,16,24,16,39,43,0.0
1763666218.6539443,1780000,4,140.9987030029297,381.58026123046875,-41.84455,33.76817,7,19,6,19,49,51,0.0
1763666218.6539443,1780000,5,262.7628173828125,364.4438171386719,-1.2178739,-62.659744,13,18,13,17,37,59,0.0
1763666218.68586,1815000,1,148.53192138671875,219.39085388183594,-38.723232,60.310432,7,10,7,11,40,53,0.0
1763666218.68586,1815000,2,302.1204833984375,232.0508270263672,36.079334,50.714443,15,11,15,11,37,52,0.0
1763666218.68586,1815000,3,484.1565856933594,331.51513671875,-62.415455,50.422356,24,16,23,16,42,43,0.0
1763666218.68586,1815000,4,138.9710693359375,383.1479187011719,-62.703766,48.479187,6,19,6,19,51,51,0.0
1763666218.68586,1815000,5,262.8154296875,362.10675048828125,1.6270146,-72.27286,13,18,13,17,37,59,0.0
1763666218.7164524,1845000,1,147.4879150390625,221.0413055419922,-33.01725,52.196404,7,11,7,11,40,53,0.0
1763666218.7164524,1845000,2,303.4153747558594,233.87652587890625,40.951622,57.73869,15,11,15,12,39,50,0.0
1763666218.7164524,1845000,3,482.10498046875,332.6833190917969,-64.883095,36.944386,24,16,23,16,45,42,0.0
1763666218.7164524,1845000,4,137.34866333007812,384.54266357421875,-51.309444,44.109543,6,19,6,19,49,53,0.0
1763666218.7164524,1845000,5,262.6689453125,360.0218811035156,-4.6326456,-65.9351,13,18,13,17,38,58,0.0
1763666218.7539098,1880000,1,146.50039672851562,222.80047607421875,-27.312214,48.65413,7,11,7,11,40,53,0.0
1763666218.7539098,1880000,2,304.7379150390625,235.6064453125,36.57806,47.84512,15,11,15,12,43,48,0.0
1763666218.7539098,1880000,3,480.3321838378906,333.44378662109375,-49.03099,21.032574,24,16,23,16,45,41,0.0
1763666218.7539098,1880000,4,135.50762939453125,386.487060546875,-50.91826,53.777016,6,19,6,19,48,56,0.0
1763666218.7539098,1880000,5,262.5088806152344,357.7626647949219,-4.4269776,-62.484108,13,17,13,17,37,58,0.0
1763666218.7849088,1915000,1,145.62933349609375,224.8075714111328,-27.293062,62.88841,7,11,7,11,39,54,0.0
1763666218.7849088,1915000,2,306.2447814941406,237.02818298339844,47.214714,44.54737,15,11,15,12,45,47,0.0
1763666218.7849088,1915000,3,478.8006896972656,333.894287109375,-47.986374,14.115552,23,16,23,16,46,42,0.0
1763666218.7849088,1915000,4,133.8156280517578,388.1937255859375,-53.015553,53.47501,6,19,6,19,46,56,0.0
1763666218.7849088,1915000,5,262.3276062011719,355.3578186035156,-5.679879,-75.35115,13,17,13,17,38,57,0.0
1763666218.8176558,1945000,1,144.56692504882812,226.41259765625,-33.17375,50.117016,7,11,6,11,40,53,0.0
1763666218.8176558,1945000,2,308.0545654296875,238.37158203125,56.510582,41.947693,15,11,15,12,47,45,0.0
1763666218.8176558,1945000,3,476.8382263183594,334.39617919921875,-61.278004,15.671602,23,16,23,16,48,40,0.0
1763666218.8176558,1945000,4,132.15184020996094,389.8575134277344,-51.951847,51.951847,6,19,6,19,47,56,0.0
1763666218.8176558,1945000,5,262.1043395996094,353.571533203125,-6.9715095,-55.77684,13,17,13,17,38,57,0.0
1763666218.8543613,1980000,1,143.4614715576172,228.01112365722656,-30.593163,44.238827,7,11,6,11,40,52,0.0
1763666218.8543613,1980000,2,309.2156677246094,239.69248962402344,32.133232,36.555805,15,11,15,12,46,47,0.0
1763666218.8543613,1980000,3,475.52178955078125,334.6480712890625,-36.432076,6.9710536,23,16,23,16,49,39,0.0
1763666218.8543613,1980000,4,130.8977813720703,391.1055908203125,-34.70578,34.540245,6,19,6,19,46,56,0.0
1763666218.8543613,1980000,5,261.72784423828125,351.53045654296875,-10.419419,-56.486313,13,17,13,17,38,58,0.0
1763666218.8863752,2015000,1,142.15481567382812,229.76779174804688,-41.083607,55.2328,7,11,6,11,41,51,0.0
1763666218.8863752,2015000,2,310.53680419921875,240.71812438964844,41.538902,32.2478,15,12,15,12,46,46,0.0
