unix_time_ms,sim_time_ms,obstacle_id,grid_x,grid_y,neuron_id
1763656259715,1932,3,22,11,374
1763656259717,1935,1,5,13,421
1763656259720,1938,2,16,9,304
1763656259723,1941,3,22,11,374
1763656259725,1943,1,6,13,422
1763656259728,1946,2,15,9,303
1763656259730,1948,3,22,10,342
1763656259733,1951,1,6,14,454
1763656259735,1953,2,15,9,303
1763656259738,1956,3,22,10,342
1763656259741,1959,1,6,14,454
1763656259745,1963,2,15,9,303
1763656259747,1965,3,21,10,341
1763656259750,1968,1,6,15,486
1763656259753,1971,2,15,9,303
1763656259756,1974,3,21,9,309
1763656259758,1976,1,6,16,518
1763656259761,1979,2,15,9,303
1763656259764,1982,3,21,9,309
1763656259766,1984,1,6,16,518
1763656259769,1987,2,15,9,303
1763656259772,1990,3,21,9,309
1763656259775,1993,1,7,17,551
1763656259778,1996,2,15,9,303
1763656259780,1998,3,21,8,277
1763656259783,2001,1,7,17,551
1763656259785,2003,2,15,9,303
1763656259788,2006,3,21,8,277
1763656259791,2009,1,7,18,583
1763656259793,2011,2,14,9,302
1763656259796,2014,3,20,8,276
1763656259799,2017,1,8,18,584
1763656259801,2019,2,14,9,302
1763656259804,2022,3,20,7,244
1763656259807,2025,1,8,19,616
1763656259810,2027,2,14,9,302
1763656259812,2030,3,20,7,244
1763656259815,2033,1,9,19,617
1763656259817,2035,2,14,9,302
1763656259820,2038,3,20,7,244
1763656259823,2041,1,9,20,649
1763656259825,2043,2,14,9,302
1763656259828,2046,3,19,7,243
1763656259831,2048,1,10,20,650
1763656259833,2051,2,14,9,302
1763656259836,2054,3,19,7,243
1763656259838,2056,1,10,20,650
1763656259841,2059,2,14,9,302
1763656259844,2062,3,19,6,211
1763656259847,2065,1,11,21,683
1763656259850,2068,2,14,9,302
1763656259852,2070,3,18,6,210
1763656259855,2073,1,11,21,683
1763656259857,2075,2,14,9,302
1763656259860,2078,3,18,6,210
1763656259863,2081,1,12,21,684
1763656259865,2083,2,14,9,302
1763656259868,2086,3,18,6,210
1763656259871,2089,1,12,21,684
1763656259874,2092,2,14,9,302
1763656259877,2095,3,17,6,209
1763656259880,2098,1,13,22,717
1763656259882,2100,2,13,9,301
1763656259885,2103,3,17,6,209
1763656259887,2105,1,14,22,718
1763656259890,2108,2,13,9,301
1763656259895,2113,3,17,6,209
1763656259897,2115,1,14,22,718
1763656259900,2118,2,13,9,301
1763656259902,2120,3,16,6,208
1763656259905,2123,1,15,22,719
1763656259909,2126,2,13,9,301
1763656259912,2129,3,16,6,208
1763656259914,2132,1,15,22,719
