t,robot_id,x,y,gx,gy,t_s
1763663612.0392852,2,330.41677654949376,237.2893164776488,16,11,1763663612.0392852
1763663612.0392852,3,556.871229534201,192.3067929418386,27,9,1763663612.0392852
1763663612.0392852,4,382.2549912363725,396.58699048629467,19,19,1763663612.0392852
1763663612.054801,0,171.1934502266279,140.69032343414344,8,7,1763663612.054801
1763663612.054801,1,198.98442116020868,91.4940367245581,9,4,1763663612.054801
1763663612.054801,2,331.3549947495672,237.6353607075544,16,11,1763663612.054801
1763663612.054801,3,556.8631079883054,191.3068259221363,27,9,1763663612.054801
1763663612.054801,4,383.2548029011061,396.5675833983441,19,19,1763663612.054801
1763663612.0709598,0,172.06826030421902,140.2058574104173,8,7,1763663612.0709598
1763663612.0709598,1,199.1335866846138,92.48284896473768,9,4,1763663612.0709598
1763663612.0709598,2,332.28353772207794,238.00658563694475,16,11,1763663612.0709598
1763663612.0709598,3,556.9914823745311,190.31510014503803,27,9,1763663612.0709598
1763663612.0709598,4,384.2544524819288,396.5940544308335,19,19,1763663612.0709598
1763663612.0873258,0,172.89545464228505,139.6439414673515,8,6,1763663612.0873258
1763663612.0873258,1,199.35675009640656,93.45763001278746,9,4,1763663612.0873258
1763663612.0873258,2,333.2118378718027,238.3784173623542,16,11,1763663612.0873258
1763663612.0873258,3,557.1794834393264,189.33293132063164,27,9,1763663612.0873258
1763663612.0873258,4,385.2526719383382,396.6537027069661,19,19,1763663612.0873258
1763663612.1025307,0,173.67656816047207,139.01955242860603,8,6,1763663612.1025307
1763663612.1025307,1,199.66136645099,94.41010514449448,9,4,1763663612.1025307
1763663612.1025307,2,334.13580291129443,238.7608942973412,16,11,1763663612.1025307
1763663612.1025307,3,557.298554101302,188.3400455379473,27,9,1763663612.1025307
1763663612.1025307,4,386.2515297818625,396.605921869488,19,19,1763663612.1025307
1763663612.1191142,0,174.5195818383955,138.48166030295815,8,6,1763663612.1191142
1763663612.1191142,1,199.8515380496397,95.39185601058372,9,4,1763663612.1191142
1763663612.1191142,2,334.99996362820065,239.2641102105993,16,11,1763663612.1191142
1763663612.1191142,3,557.3738593904158,187.34288501253957,27,9,1763663612.1191142
1763663612.1191142,4,387.24089288157967,396.460454839141,19,19,1763663612.1191142
1763663612.135366,0,175.3614411310443,137.94196322923912,8,6,1763663612.135366
1763663612.135366,1,200.08741008307567,96.36364013467858,10,4,1763663612.135366
1763663612.135366,2,335.78900468396904,239.87845067997435,16,11,1763663612.135366
1763663612.135366,3,557.5194268116901,186.35353667860272,27,9,1763663612.135366
1763663612.135366,4,388.2399471124375,396.4169733050703,19,19,1763663612.135366
1763663612.1512856,0,176.26851824100308,137.52099872172235,8,6,1763663612.1512856
1763663612.1512856,1,200.39016489462816,97.31670861284886,10,4,1763663612.1512856
1763663612.1512856,2,336.5815451052295,240.4882700636186,16,12,1763663612.1512856
1763663612.1512856,3,557.6811371950747,185.3666984183465,27,9,1763663612.1512856
1763663612.1512856,4,389.2323819492675,396.2942007729381,19,19,1763663612.1512856
1763663612.16723,0,177.1907458036718,137.13435117853334,8,6,1763663612.16723
1763663612.16723,1,200.7901263236716,98.23324058461937,10,4,1763663612.16723
1763663612.16723,2,337.36240937792377,241.11297078206675,16,12,1763663612.16723
1763663612.16723,3,557.7290375554928,184.36784629942605,27,9,1763663612.16723
1763663612.16723,4,390.2022955154247,396.0507512418555,19,19,1763663612.16723
1763663612.1830657,0,178.06067538910477,136.6411752298209,8,6,1763663612.1830657
1763663612.1830657,1,201.29034266558213,99.09914104730872,10,4,1763663612.1830657
1763663612.1830657,2,338.0520917005159,241.83708285481785,16,12,1763663612.1830657
1763663612.1830657,3,557.6283515273717,183.37292804964807,27,9,1763663612.1830657
