unix_time_ms,sim_time_ms,robot_id,grid_x,grid_y,neuron_id,event_type
1763662371817,5203,2,24,7,248,inject
1763662371827,5213,3,15,11,367,inject
1763662371838,5223,1,19,15,499,inject
1763662371848,5234,5,15,7,239,inject
1763662371858,5244,4,28,12,412,inject
1763662371869,5254,2,25,7,249,inject
1763662371879,5264,3,15,11,367,inject
1763662371889,5275,1,19,15,499,inject
1763662371900,5285,5,15,7,239,inject
1763662371910,5296,4,28,12,412,inject
1763662371920,5306,2,25,7,249,inject
1763662371931,5316,3,15,11,367,inject
1763662371941,5326,1,19,15,499,inject
1763662371951,5337,5,15,6,207,inject
1763662371962,5347,4,28,12,412,inject
1763662371972,5358,2,25,7,249,inject
1763662371982,5368,3,15,11,367,inject
1763662371993,5378,1,19,15,499,inject
1763662372003,5389,5,14,6,206,inject
1763662372013,5399,4,28,12,412,inject
1763662372024,5409,2,25,7,249,inject
1763662372034,5420,3,15,11,367,inject
1763662372044,5430,1,20,14,468,inject
1763662372055,5440,5,14,6,206,inject
1763662372065,5450,4,28,12,412,inject
1763662372075,5461,2,25,7,249,inject
1763662372086,5471,3,15,12,399,inject
1763662372096,5481,1,20,14,468,inject
1763662372106,5492,5,14,6,206,inject
1763662372117,5502,4,28,12,412,inject
1763662372127,5512,2,25,7,249,inject
1763662372137,5523,3,14,12,398,inject
1763662372147,5533,1,20,14,468,inject
1763662372158,5543,5,14,6,206,inject
1763662372168,5554,4,28,12,412,inject
1763662372178,5564,2,25,7,249,inject
1763662372189,5574,3,14,12,398,inject
1763662372199,5585,1,20,14,468,inject
1763662372209,5595,5,14,6,206,inject
1763662372220,5605,4,28,12,412,inject
1763662372230,5616,2,25,7,249,inject
1763662372240,5626,3,14,12,398,inject
1763662372251,5636,1,20,14,468,inject
1763662372261,5647,5,13,6,205,inject
1763662372272,5657,4,29,12,413,inject
1763662372282,5667,2,26,6,218,inject
1763662372292,5678,3,14,12,398,inject
1763662372302,5688,1,20,14,468,inject
1763662372313,5698,5,13,6,205,inject
1763662372323,5709,4,29,12,413,inject
1763662372333,5719,2,26,6,218,inject
1763662372344,5729,3,14,12,398,inject
1763662372354,5739,1,20,14,468,inject
1763662372364,5750,5,13,6,205,inject
1763662372375,5760,4,29,12,413,inject
1763662372385,5771,2,26,6,218,inject
1763662372396,5781,3,14,12,398,inject
1763662372406,5791,1,20,13,436,inject
1763662372416,5802,5,13,6,205,inject
1763662372427,5812,4,29,12,413,inject
1763662372437,5822,2,26,6,218,inject
1763662372447,5833,3,14,12,398,inject
1763662372458,5843,1,20,13,436,inject
1763662372468,5854,5,13,6,205,inject
1763662372479,5864,4,29,12,413,inject
1763662372489,5874,2,26,6,218,inject
1763662372499,5885,3,14,12,398,inject
1763662372510,5895,1,20,13,436,inject
1763662372520,5905,5,12,6,204,inject
1763662372530,5916,4,29,12,413,inject
1763662372540,5926,2,26,6,218,inject
1763662372551,5936,3,14,12,398,inject
1763662372561,5947,1,20,13,436,inject
1763662372571,5957,5,12,6,204,inject
1763662372582,5967,4,29,12,413,inject
1763662372592,5978,2,26,6,218,inject
1763662372603,5988,3,14,13,430,inject
1763662372613,5998,1,20,13,436,inject
1763662372623,6009,5,12,6,204,inject
1763662372633,6019,4,28,12,412,inject
1763662372644,6029,2,26,6,218,inject
1763662372654,6040,3,14,13,430,inject
1763662372664,6050,1,20,13,436,inject
1763662372675,6060,5,12,6,204,inject
1763662372685,6071,4,28,12,412,inject
1763662372695,6081,2,26,6,218,inject
1763662372706,6091,3,13,13,429,inject
1763662372716,6102,1,20,13,436,inject
1763662372726,6112,5,12,6,204,inject
1763662372737,6122,4,28,12,412,inject
1763662372747,6132,2,27,6,219,inject
1763662372757,6143,3,13,13,429,inject
1763662372768,6153,1,20,13,436,inject
1763662372778,6163,5,11,6,203,inject
1763662372788,6174,4,28,12,412,inject
1763662372799,6184,2,27,6,219,inject
1763662372809,6194,3,13,13,429,inject
1763662372819,6205,1,20,12,404,inject
1763662372830,6215,5,11,6,203,inject
1763662372840,6225,4,28,12,412,inject
1763662372850,6236,2,27,5,187,inject
1763662372861,6246,3,13,13,429,inject
1763662372871,6257,1,20,12,404,inject
1763662372881,6267,5,11,6,203,inject
1763662372892,6277,4,28,12,412,inject
1763662372902,6288,2,27,5,187,inject
1763662372912,6298,3,13,13,429,inject
1763662372923,6308,1,21,12,405,inject
1763662372933,6319,5,11,6,203,inject
1763662372943,6329,4,28,12,412,inject
1763662372954,6339,2,27,5,187,inject
1763662372964,6349,3,13,13,429,inject
1763662372974,6360,1,21,12,405,inject
1763662372985,6370,5,11,6,203,inject
1763662372995,6381,4,28,12,412,inject
1763662373005,6391,2,27,5,187,inject
1763662373016,6401,3,13,13,429,inject
1763662373026,6412,1,21,12,405,inject
1763662373036,6422,5,10,6,202,inject
